model,train_dataset,test_dataset,lan,pairs,threshold,precision,recall,f1,mcc,TP,TN,FP,FN
Salesforce/codet5-base,Kamino,SemanticCloneBench,csharp,1870,0.6,0.9828125,0.6727272727272727,0.7987301587301587,0.6965397927805914,629,924,11,306
Salesforce/codet5-base,SemanticCloneBench,Kamino,python,18072,0.6,0.8363561840352495,0.9032757857459052,0.8685288640595903,0.728875212715231,8162,7439,1597,874
microsoft/codebert-base,SemanticCloneBench,GPTCloneBench,python,5640,0.7,0.9670865501828524,0.8439716312056738,0.9013444423404658,0.8219358068040875,2380,2739,81,440
microsoft/codebert-base,SemanticCloneBench,GPTCloneBench,java,14192,0.7,0.9601916088536504,0.8191939120631342,0.884106463878327,0.7938364874278715,5813,6855,241,1283
microsoft/codebert-base,SemanticCloneBench,GPTCloneBench,csharp,9816,0.7,0.9844322344322344,0.876120619396903,0.9271237602414836,0.8675325822395044,4300,4840,68,608
Salesforce/codet5-base,SemanticCloneBench,GPTCloneBench,python,5640,0.7,0.9617204301075268,0.7929078014184398,0.8691933916423712,0.7733548249890553,2236,2731,89,584
Salesforce/codet5-base,SemanticCloneBench,GPTCloneBench,java,14192,0.7,0.964229074889868,0.7711386696730552,0.8569415081042988,0.7578826099021468,5472,6893,203,1624
Salesforce/codet5-base,SemanticCloneBench,GPTCloneBench,csharp,9816,0.7,0.9911143131604226,0.8408720456397718,0.9098324514991182,0.8430762808286508,4127,4871,37,781
microsoft/codebert-base,SemanticCloneBench,GPTCloneBench,python,5640,0.6,0.9425500370644924,0.90177304964539,0.921710764769844,0.8476020835185868,2543,2665,155,277
microsoft/codebert-base,SemanticCloneBench,GPTCloneBench,java,14192,0.6,0.9236641221374046,0.9037485907553552,0.9135978346036042,0.8292514047443507,6413,6566,530,683
microsoft/codebert-base,SemanticCloneBench,GPTCloneBench,csharp,9816,0.6,0.9600084192801516,0.9292991035044824,0.9444041826276012,0.8910428023869029,4561,4718,190,347
Salesforce/codet5-base,SemanticCloneBench,GPTCloneBench,python,5640,0.6,0.939745508982036,0.8904255319148936,0.91442097596504,0.8344833715402682,2511,2659,161,309
Salesforce/codet5-base,SemanticCloneBench,GPTCloneBench,java,14192,0.6,0.9295732617129217,0.8779594137542277,0.9030294245542833,0.8126967817069268,6230,6624,472,866
Salesforce/codet5-base,SemanticCloneBench,GPTCloneBench,csharp,9816,0.6,0.973735199138859,0.9215566422167889,0.9469276667015598,0.8979894626325405,4523,4786,122,385
