source_id,target_id,similarity
BigCodeBench/166,BigCodeBench/648,0.521719
BigCodeBench/166,BigCodeBench/88,0.47914234
BigCodeBench/166,BigCodeBench/497,0.47586447
BigCodeBench/166,BigCodeBench/491,0.45234284
BigCodeBench/166,BigCodeBench/646,0.4310122
BigCodeBench/10,BigCodeBench/311,0.76635695
BigCodeBench/10,BigCodeBench/8,0.74499494
BigCodeBench/10,BigCodeBench/11,0.71233964
BigCodeBench/10,BigCodeBench/3,0.699515
BigCodeBench/10,BigCodeBench/141,0.57076406
BigCodeBench/1111,BigCodeBench/1110,0.86592835
BigCodeBench/1111,BigCodeBench/912,0.6207001
BigCodeBench/1111,BigCodeBench/385,0.617252
BigCodeBench/1111,BigCodeBench/902,0.6036355
BigCodeBench/1111,BigCodeBench/4,0.5939133
BigCodeBench/745,BigCodeBench/675,0.5449084
BigCodeBench/745,BigCodeBench/673,0.48270082
BigCodeBench/745,BigCodeBench/671,0.45757687
BigCodeBench/745,BigCodeBench/820,0.44671285
BigCodeBench/745,BigCodeBench/890,0.4041219
BigCodeBench/317,BigCodeBench/1100,0.62959933
BigCodeBench/317,BigCodeBench/319,0.60173416
BigCodeBench/317,BigCodeBench/179,0.57650924
BigCodeBench/317,BigCodeBench/838,0.4968317
BigCodeBench/317,BigCodeBench/918,0.4813969
BigCodeBench/414,BigCodeBench/523,0.5884361
BigCodeBench/414,BigCodeBench/43,0.5872478
BigCodeBench/414,BigCodeBench/463,0.57808894
BigCodeBench/414,BigCodeBench/1002,0.57310486
BigCodeBench/414,BigCodeBench/134,0.5666826
BigCodeBench/375,BigCodeBench/702,0.69159216
BigCodeBench/375,BigCodeBench/45,0.61303115
BigCodeBench/375,BigCodeBench/1063,0.5930188
BigCodeBench/375,BigCodeBench/136,0.59236574
BigCodeBench/375,BigCodeBench/978,0.5241964
BigCodeBench/664,BigCodeBench/640,0.7023356
BigCodeBench/664,BigCodeBench/491,0.7003581
BigCodeBench/664,BigCodeBench/908,0.6177329
BigCodeBench/664,BigCodeBench/88,0.60107815
BigCodeBench/664,BigCodeBench/512,0.554325
BigCodeBench/1133,BigCodeBench/118,0.60820013
BigCodeBench/1133,BigCodeBench/1118,0.6017374
BigCodeBench/1133,BigCodeBench/158,0.5563878
BigCodeBench/1133,BigCodeBench/1041,0.5492562
BigCodeBench/1133,BigCodeBench/207,0.5173193
BigCodeBench/536,BigCodeBench/842,0.59877574
BigCodeBench/536,BigCodeBench/60,0.40301442
BigCodeBench/536,BigCodeBench/645,0.40085268
BigCodeBench/536,BigCodeBench/1131,0.38983393
BigCodeBench/536,BigCodeBench/873,0.38594186
BigCodeBench/172,BigCodeBench/497,0.5732016
BigCodeBench/172,BigCodeBench/650,0.4153285
BigCodeBench/172,BigCodeBench/648,0.37729084
BigCodeBench/172,BigCodeBench/301,0.33146217
BigCodeBench/172,BigCodeBench/626,0.30680966
BigCodeBench/921,BigCodeBench/680,0.7155168
